,id,timestamp,Active_Energy_+_Total_ini,Active_Energy_+_Total_end,Active_Energy_+_Incr,Active_Energy_-_Total_ini,Active_Energy_-_Total_end,Active_Energy_-_Incr,Average_voltage_L1,Average_voltage_L2,Average_voltage_L3,Average_current_L1,Average_current_L2,Average_current_L3,L1_Average_Active_Power,L2_Average_Active_Power,L3_Average_Active_Power,L1_Average_Reactive_Power,L2_Average_Reactive_Power,L3_Average_Reactive_Power
7898,BBB6004,2019-08-23T16:45:00Z,170527517.0,170527811.00000003,295.0,55390104.00000001,55390104.00000001,0.0,237.6659444444445,238.80038888888896,239.07938888888881,,,,,,,,,
7899,BBB6004,2019-08-23T17:00:00Z,170527813.00000003,170528126.00000003,315.0,55390104.00000001,55390104.00000001,0.0,237.69122222222208,238.69633333333323,239.19733333333326,,,,,,,,,
7900,BBB6004,2019-08-23T17:15:00Z,170528128.0,170528446.00000003,320.0,55390104.00000001,55390104.00000001,0.0,237.7282222222222,238.8362777777779,239.29622222222218,,,,,,,,,
7901,BBB6004,2019-08-23T17:30:00Z,170528448.0,170528774.00000003,328.0,55390104.00000001,55390104.00000001,0.0,237.85161111111103,239.15738888888882,239.4940555555557,,,,,,,,,
7902,BBB6004,2019-08-23T17:45:00Z,170528776.0,170529100.0,325.9999999701977,55390104.00000001,55390104.00000001,0.0,237.12277777777777,238.35422222222215,238.62194444444447,,,,,,,,,
7903,BBB6004,2019-08-23T18:00:00Z,170529101.00000003,170529487.0,387.0,55390104.00000001,55390104.00000001,0.0,234.4762777777777,235.59166666666636,236.17400000000004,,,,,,,,,
7904,BBB6004,2019-08-23T18:15:00Z,170529495.0,170530919.00000003,1432.0000000298023,55390104.00000001,55390104.00000001,0.0,233.4742222222221,234.74177777777777,235.327611111111,,,,,,,,,
7905,BBB6004,2019-08-23T18:30:00Z,170530925.00000003,170532371.0,1451.9999999701977,55390104.00000001,55390104.00000001,0.0,234.02855555555547,235.52166666666665,235.98161111111125,,,,,,,,,
7906,BBB6004,2019-08-23T18:45:00Z,170532381.00000003,170533881.99999997,1510.9999999701977,55390104.00000001,55390104.00000001,0.0,234.24594444444443,235.80244444444438,236.53316666666672,,,,,,,,,
7907,BBB6004,2019-08-23T19:00:00Z,170533894.00000003,170535495.0,1613.0000000298023,55390104.00000001,55390104.00000001,0.0,234.38727777777777,236.759888888889,237.3208333333333,,,,,,,,,
7908,BBB6004,2019-08-23T19:15:00Z,170535505.0,170536962.0,1467.0,55390104.00000001,55390104.00000001,0.0,235.4509444444444,236.89744444444452,237.5139444444443,,,,,,,,,
7909,BBB6004,2019-08-23T19:30:00Z,170536971.00000003,170538430.0,1468.0,55390104.00000001,55390104.00000001,0.0,235.54516666666652,236.93338888888894,237.67449999999997,,,,,,,,,
7910,BBB6004,2019-08-23T19:45:00Z,170538437.0,170539900.0,1470.0,55390104.00000001,55390104.00000001,0.0,235.81794444444438,237.15483333333322,237.98033333333336,,,,,,,,,
7911,BBB6004,2019-08-23T20:00:00Z,170539907.0,170541376.00000003,1476.0000000298023,55390104.00000001,55390104.00000001,0.0,236.36372222222226,237.71144444444442,238.5801111111111,,,,,,,,,
7912,BBB6004,2019-08-23T20:15:00Z,170541385.0,170542860.00000003,1484.0,55390104.00000001,55390104.00000001,0.0,236.6716111111112,237.93733333333327,239.0154444444445,,,,,,,,,
7913,BBB6004,2019-08-23T20:30:00Z,170542867.0,170544344.0,1483.9999999701977,55390104.00000001,55390104.00000001,0.0,236.96133333333324,238.24483333333308,239.3298333333333,,,,,,,,,
7914,BBB6004,2019-08-23T20:45:00Z,170544350.0,170545851.00000003,1507.0000000298023,55390104.00000001,55390104.00000001,0.0,237.47472222222217,238.5763333333334,239.82499999999987,,,,,,,,,
7915,BBB6004,2019-08-23T21:00:00Z,170545861.0,170547355.0,1503.9999999701977,55390104.00000001,55390104.00000001,0.0,237.25461111111105,238.3027222222223,239.52794444444447,,,,,,,,,
7916,BBB6004,2019-08-23T21:15:00Z,170547365.0,170548816.00000003,1461.0000000298023,55390104.00000001,55390104.00000001,0.0,235.15977777777778,236.3674444444445,237.3905,,,,,,,,,
7917,BBB6004,2019-08-23T21:30:00Z,170548826.00000003,170550282.0,1465.9999999701977,55390104.00000001,55390104.00000001,0.0,235.40249999999983,236.7314444444445,237.54455555555535,,,,,,,,,
7918,BBB6004,2019-08-23T21:45:00Z,170550288.0,170551744.00000003,1462.0000000298023,55390104.00000001,55390104.00000001,0.0,235.27944444444447,236.70255555555562,237.45138888888894,,,,,,,,,
7919,BBB6004,2019-08-23T22:00:00Z,170551751.00000003,170553212.0,1467.9999999701977,55390104.00000001,55390104.00000001,0.0,235.68433333333329,237.11733333333314,237.90905555555557,,,,,,,,,
7920,BBB6004,2019-08-23T22:15:00Z,170553218.00000003,170554675.00000003,1463.0000000298023,55390104.00000001,55390104.00000001,0.0,235.41016666666667,236.81611111111124,237.59816666666666,,,,,,,,,
7921,BBB6004,2019-08-23T22:30:00Z,170554682.0,170556134.00000003,1459.0,55390104.00000001,55390104.00000001,0.0,235.1807777777777,236.39249999999993,237.38061111111108,,,,,,,,,
7922,BBB6004,2019-08-23T22:45:00Z,170556140.0,170557616.0,1481.9999999701977,55390104.00000001,55390104.00000001,0.0,235.81438888888886,236.87277777777788,238.0546666666664,,,,,,,,,
7923,BBB6004,2019-08-23T23:00:00Z,170557623.00000003,170559107.0,1491.0,55390104.00000001,55390104.00000001,0.0,236.37850000000012,237.51494444444427,238.5607222222222,,,,,,,,,
7924,BBB6004,2019-08-23T23:15:00Z,170559114.00000003,170560587.0,1480.0,55390104.00000001,55390104.00000001,0.0,236.79705555555515,238.1119444444448,238.98238888888858,,,,,,,,,
7925,BBB6004,2019-08-23T23:30:00Z,170560593.00000003,170562070.0,1483.0,55390104.00000001,55390104.00000001,0.0,237.2367039106144,238.58877094972058,239.49150837988813,,,,,,,,,
7926,BBB6004,2019-08-23T23:45:00Z,170562080.00000003,170563557.0,1487.0,55390104.00000001,55390104.00000001,0.0,237.4868333333335,238.81683333333353,239.77188888888887,,,,,,,,,
7927,BBB6004,2019-08-24T00:00:00Z,170563567.0,170565048.0,1491.0,55390104.00000001,55390104.00000001,0.0,237.69144444444453,239.05094444444438,239.99194444444453,,,,,,,,,
